1,"Ajlun","Jordan",32.332500,35.751700,148870,114.9000000000,0.754
2,"Al Jubayl","Saudi Arabia",27.004600,49.646000,474679,16.4000000000,0.900
3,"Al Jumayl","Libya",32.852800,12.061100,102000,4.0000000000,0.721
4,"Ajman","United Arab Emirates",25.413600,55.445600,490035,119.5000000000,0.940
5,"Aurora","United States of America",39.708300,-104.723700,390201,2165.6000000000,0.938
6,"Austin","United States of America",30.300500,-97.752200,1915031,18.2000000000,0.938
7,"Al Juwayyidah","Jordan",31.916700,35.950000,176400,114.9000000000,0.754
8,"Al Kharj","Saudi Arabia",24.148300,47.305000,295462,16.4000000000,0.900
9,"Aqrah","Iraq",36.760400,43.894300,212000,93.9000000000,0.695
10,"Unayzah","Saudi Arabia",26.086000,43.997000,184600,16.4000000000,0.900
11,"Al Khubar","Saudi Arabia",26.300000,50.216700,219679,16.4000000000,0.900
12,"Al Khums","Libya",32.649700,14.264400,201943,4.0000000000,0.721
13,"Al Kufah","Iraq",32.030000,44.400000,171305,93.9000000000,0.695
14,"Hertogenbosch","Netherlands",51.683300,5.316700,157486,1330.7000000000,0.955
15,"A Coruna","Spain",43.365000,-8.410000,249261,6342.4000000000,0.918
16,"Aachen","Germany",50.775600,6.083600,252769,1543.9000000000,0.959
17,"Al Mafraq","Jordan",32.339900,36.205200,580000,114.9000000000,0.754
18,"Avadi","India",13.114700,80.109800,345996,423.8000000000,0.685
19,"Avcilar","Turkey",40.979200,28.721400,452132,108.5000000000,0.853
20,"Aalborg","Denmark",57.033700,9.916600,143598,196.5000000000,0.962
21,"Al Mahallah al Kubra","Egypt",30.966700,31.166700,592573,104.0000000000,0.754
22,"Aves","Portugal",41.370300,-8.410100,425411,110.4000000000,0.890
23,"Al Manaqil","Sudan",14.250400,32.980000,151827,23.8000000000,0.511
24,"Avrankou","Benin",6.550000,2.666700,128050,110.6000000000,0.515
25,"Aarhus","Denmark",56.157200,10.210700,290598,780.5000000000,0.962
26,"Aw Dheegle","Somalia",1.977500,44.832500,119000,25.7000000000,0.404
